t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
4,27,2,59,2,2,3080,6,4,8,3,12,72,9460,0,7,1
4,29,1,27,0,6,3080,6,7,4,3,17,30,0,0,7,0
1,9,1,36,0,5,3080,8,7,5,2,11,35,0,0,18,0
1,9,1,63,0,5,3080,1,7,7,3,16,54,0,0,12,1
1,9,1,44,0,6,3080,5,3,6,2,10,45,0,0,4,0
1,9,1,41,0,1,3080,6,5,8,4,14,84,0,0,7,1
1,15,1,55,0,5,3080,1,2,8,3,12,60,5160,3,14,0
1,15,2,41,2,5,3080,3,3,6,3,17,48,8600,0,5,0
3,15,1,21,0,1,3080,5,4,8,2,6,61,12900,0,5,0
1,15,1,29,0,5,3080,5,4,7,2,9,51,10320,0,4,0
1,14,1,49,0,5,3080,6,4,7,2,14,50,15050,0,6,0
1,14,2,45,2,5,3080,6,3,7,3,9,54,6450,0,7,1
1,14,1,43,0,6,3080,3,5,6,4,16,40,0,0,15,1
1,14,1,43,0,6,3080,3,5,6,4,16,40,0,0,15,1
1,19,2,42,0,5,3080,4,2,8,2,12,84,4300,3,7,0
3,31,1,50,0,5,3080,3,7,8,3,16,60,0,0,5,1
1,1,1,46,0,5,3080,1,7,6,3,10,40,0,0,12,1
1,8,1,30,0,1,5302,5,5,6,3,9,40,30100,0,5,1
1,10,1,54,0,5,3080,5,4,7,3,6,54,10750,0,5,1
1,18,1,32,0,5,3080,5,3,8,3,9,63,6450,0,5,0
1,23,1,39,0,5,3080,1,5,7,3,16,52,20000,0,4,1
3,2,1,39,0,5,5302,1,7,7,3,16,50,0,0,12,1
1,8,1,48,0,5,3080,3,5,7,4,15,56,30100,0,11,1
1,16,1,44,0,5,3080,8,5,8,3,9,72,25800,0,18,1
2,31,2,55,2,5,3080,6,7,8,3,13,72,0,0,7,1
2,31,1,41,0,5,3080,5,3,6,2,9,40,7740,0,4,0
3,17,1,42,0,5,3080,5,3,7,3,9,52,6450,0,5,1
3,24,1,33,0,6,3080,6,7,9,3,0,0,0,0,7,0
3,7,1,46,0,5,3080,5,4,8,3,9,70,10000,0,5,1
3,15,2,49,2,1,3080,6,2,8,3,6,60,0,3,7,0
3,16,2,52,3,5,3080,6,1,4,2,8,32,1720,0,18,0
4,7,1,41,0,1,3080,5,1,3,2,0,16,1720,0,4,0
4,7,1,37,0,5,3080,10,1,4,0,6,30,792,0,1,1
4,11,1,65,0,5,3080,10,7,3,0,6,21,0,0,1,1
4,12,1,22,0,5,3080,10,1,7,0,6,54,300,2,1,1
4,13,1,54,0,1,3080,5,2,6,2,6,46,5160,0,4,0
4,23,2,56,7,1,3080,5,1,2,2,3,9,860,0,18,0
4,25,1,47,0,5,3080,5,2,8,3,12,84,4300,3,5,1
4,27,1,57,0,5,3080,10,1,7,0,12,50,0,2,1,1
4,28,1,52,0,5,3080,10,3,8,0,4,60,6450,0,1,1
